Sentence,Score,Sentiment
RT starwars bobafett mimbanstormtrooper,0,neutral
RT starwars bobafett mimbanstormtrooper,0,neutral
RT HotToys 1 6th scale HanSolo Regular amp Deluxe Version collectible figures from SoloAStarWarsStory are available fo,0,neutral
RT HotToys 1 6th scale HanSolo Mudtrooper collectible figure from SoloAStarWarsStory is available for pre order now,0,neutral
RT Hot Chocolate Recipe The Han Coco Meteor Meringue HanSolo w,1,Positive
RT The Force Link 2 0 set finally went on sale in stores around S Florida This actually rang up at 7 even though the,1,Positive
The Force Link 2 0 set finally went on sale in stores around S Florida This actually rang up at 7 even though t,1,Positive
RT Hot Chocolate Recipe The Han Coco Meteor Meringue HanSolo w,1,Positive
AD OK we admit it There are 1 product by Chris Wahl RedBubble in our store including the 1 delicious tee,1,Positive
Found the last two STAR WARS Movie Moments and at a great deal for only 7 each starwars funkopop funko,3,Positive
RT Hot Chocolate Recipe The Han Coco Meteor Meringue HanSolo w,1,Positive
by starwars starwarsfanart bountyhunter starwarsart hansolo starwarsresistance clonewars,0,neutral
KingWookiee StarWarsFanArt art StarWars Chewbacca HanSolo MillenniumFalcon SoloMovie,0,neutral
RT Hot Chocolate Recipe The Han Coco Meteor Meringue HanSolo w,1,Positive
Go to a work event leave with a 3 foot tall cactus crazyplantlady TooFly4ACacti cactus Halifax Nov,0,neutral
RT Unbelievable day yesterday We finally tagged 2 female white sharks immature amp 10ft long is named after Captai,-1,negative
RT Finally a big mature female At 15ft long is the second biggest white shark we ve ever tagged in the North At,1,Positive
RT Nova Scotia s hitting its autumnal stride right now and we would love to showcase some of this province s fall beauty Reply,4,Positive
RT Our Oyster Stout is available at 60 NSLC across Nova Scotia Get yours now NSCraftBeer SoberIslandBrew OysterSto,0,neutral
RT Do you have someone on your Christmas list that is missing Nova Scotia We ve got beautiful NS Coasters made by our Trai,1,Positive
RT Our Oyster Stout is available at 60 NSLC across Nova Scotia Get yours now NSCraftBeer SoberIslandBrew OysterSto,0,neutral
RT ca It s Citizenship Week To celebrate we are highlighting newcomers to Nova Scotia who recently received their citizenship Up,0,neutral
RT Finally a big mature female At 15ft long is the second biggest white shark we ve ever tagged in the North At,1,Positive
RT On Wed October 17th at 7 30pm join Dr Sara Spike at the as she explores the past of the hundreds of islands alon,0,neutral
RT Adam Saint John refinery explosion was heard cross the Bay of Fundy in Nova Scotia according to Pic,0,neutral
RT NS government fails to give parents same protected leave as other provinces used Majority to vote down,-1,negative
A great hiking group today from cruises We ve been taking lovely German guests from Aida for 7 years now an,2,negative
RT Province urged to give municipalities power to post speed limits under 50km h CBC News nspoli,0,neutral
RT Beyond honoured to be named a recipient to the Order of Nova Scotia alongside these incredible Nova Scotians Congratulati,1,Positive
RT So now African American men better not be caught with white kids in his car This Trumpism BS is really getting tired This,1,Positive
Great job NYT So Donny after reading this entire NYT article I m thinking the ONLY way to clear your once pro,2,Positive
RT So now African American men better not be caught with white kids in his car This Trumpism BS is really getting tired This,1,Positive
RT realDonaldTrump It is amazing that the president of US not Rundheera Republic detesting publicly the right decision t,2,Positive
Taylorswift realDonaldTrump VoteRed MarshaBlackburn mega narcisist can t tolerate the negative attention her,-1,negative
A man who can do no wrong is a man who can do no right realDonaldTrump,0,neutral
RT WeThePeople are now the News Tune in LIVE to our 24 7 LiveStream gt MSM Qanon RealNews Tr,1,Positive
Who does not understand a look also include a long explanation techsytalk,0,neutral
RT GoT gameofthrones georgerrmartin,0,neutral
RT T rodead de spoilers y teor as acerca de GameOfThrones Vuelve a vivir la 5 temporada de GOT en CinemaxLA Horar,0,neutral
RT T rodead de spoilers y teor as acerca de GameOfThrones Vuelve a vivir la 5 temporada de GOT en CinemaxLA Horar,0,neutral
Imma name my kids Daenerys Drogon Aria and Oberyn GoT,0,neutral
RT Come see GameofThrones Season 6 Episode 4 Book of the Stranger REACTION GoT,0,neutral
RT If can do it so can you but listen to them do it first Thanks in advance GOT BSPN,0,neutral
If can do it so can you but listen to them do it first Thanks in advance GOT BSPN,0,neutral
RT Filming on GameofThrones is over but Northern Ireland isn t quite ready to let go of the show that did so much for its film i,1,Positive
RT english Twin Day was a success got your back grammarpolice tdhs,1,Positive
RT T rodead de spoilers y teor as acerca de GameOfThrones Vuelve a vivir la 5 temporada de GOT en CinemaxLA Horar,0,neutral
What does chemistry mean Me Caryl braime twd Got,-1,negative
Awesome company with great potential I believe in her success and advise you Continue to follow the news As the,4,negative
RT T rodead de spoilers y teor as acerca de GameOfThrones Vuelve a vivir la 5 temporada de GOT en CinemaxLA Horar,0,neutral
You can not even imagine what prospects the project has You need to join and not lose such a possibility Team and,1,Positive
RT pksp Got Another Sale for our King Shirt Thank you Canada King BlackHeartTees,0,neutral
Canada StudyAbroad,0,neutral
RT If you are in college or low tier job please retweet and dm e so I can give 500 daily to help Many thanks sugarba,0,neutral
RT Arnprior Ontario Only 15 tickets remain and then we are sold out Tickets for all other shows are selling FAST Cana,0,neutral
RT Also trending moser Czech Bohemian glass Christmas2018 vintage vintageclique Londonislovin,1,Positive
RT I am giving thanks today for Canada with love and respect from your shitty downstairs neighbors CanadianThanksgiving,2,Positive
It s happening in America with the Dems and it s happening in Canada with the Liberals Many people consider a,0,neutral
Punto de patentes del USMCA encarecer a medicinas en Canad,0,neutral
TuesdayMotivation TuesdayThoughts Yesssssss I wanted to put emphasis on the funny bone as I amwriting humor,1,Positive
RT Halifax listed in the top 10 cities in Canada to launch a tech startup via,1,Positive
Arnprior Ontario Only 15 tickets remain and then we are sold out Tickets for all other shows are selling FAST,0,neutral
